fiche_id,url,nom_complet,naissance_date,naissance_commune,naissance_dept,deces_date,deces_commune,deces_dept,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,est_gaulliste,suppleant_de,a_eu_suppleant
3781,https://www2.assemblee-nationale.fr/sycomore/fiche/3781,Léopold Hélène,16 octobre 1926,Le gosier,Guadeloupe,9 février 2012,Paris,Paris,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,25 octobre 1973,Guadeloupe,,Union des démocrates pour la République,UDR,TRUE,,
3815,https://www2.assemblee-nationale.fr/sycomore/fiche/3815,Pierre Herman,20 décembre 1910,Roubaix,Nord,9 janvier 1990,Berck,Pas,Cinquième République - Assemblée nationale,IIe législature,25 novembre 1962,2 avril 1967,Nord,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
3815,https://www2.assemblee-nationale.fr/sycomore/fiche/3815,Pierre Herman,20 décembre 1910,Roubaix,Nord,9 janvier 1990,Berck,Pas,Cinquième République - Assemblée nationale,IVe législature,30 juin 1968,1 avril 1973,Nord,,Union des démocrates pour la République,UDR,TRUE,,
3821,https://www2.assemblee-nationale.fr/sycomore/fiche/3821,Robert Hersant,31 janvier 1920,Vertou,Loire,21 avril 1996,Saint-cloud,Hauts,Quatrième République - Assemblée nationale,IIIe législature,19 janvier 1956,18 avril 1956,Oise,,Républicain radical et radical-socialiste,,FALSE,,
3821,https://www2.assemblee-nationale.fr/sycomore/fiche/3821,Robert Hersant,31 janvier 1920,Vertou,Loire,21 avril 1996,Saint-cloud,Hauts,Quatrième République - Assemblée nationale,IIIe législature,17 juin 1956,8 décembre 1958,Oise,,Républicain radical et radical-socialiste,,FALSE,,
3821,https://www2.assemblee-nationale.fr/sycomore/fiche/3821,Robert Hersant,31 janvier 1920,Vertou,Loire,21 avril 1996,Saint-cloud,Hauts,Cinquième République - Assemblée nationale,Ire législature,9 décembre 1958,9 octobre 1962,Oise,,Non inscrit,,FALSE,,
3821,https://www2.assemblee-nationale.fr/sycomore/fiche/3821,Robert Hersant,31 janvier 1920,Vertou,Loire,21 avril 1996,Saint-cloud,Hauts,Cinquième République - Assemblée nationale,IIe législature,6 décembre 1962,2 avril 1967,Oise,,Rassemblement démocratique,,FALSE,,
3821,https://www2.assemblee-nationale.fr/sycomore/fiche/3821,Robert Hersant,31 janvier 1920,Vertou,Loire,21 avril 1996,Saint-cloud,Hauts,Cinquième République - Assemblée nationale,IIIe législature,3 avril 1967,30 mai 1968,Oise,,Fédération de la gauche démocrate et socialiste,,FALSE,,
3821,https://www2.assemblee-nationale.fr/sycomore/fiche/3821,Robert Hersant,31 janvier 1920,Vertou,Loire,21 avril 1996,Saint-cloud,Hauts,Cinquième République - Assemblée nationale,IVe législature,11 juillet 1968,1 avril 1973,Oise,,Union des démocrates pour la République,UDR,TRUE,,
3821,https://www2.assemblee-nationale.fr/sycomore/fiche/3821,Robert Hersant,31 janvier 1920,Vertou,Loire,21 avril 1996,Saint-cloud,Hauts,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Oise,,Union centriste,,FALSE,,
3821,https://www2.assemblee-nationale.fr/sycomore/fiche/3821,Robert Hersant,31 janvier 1920,Vertou,Loire,21 avril 1996,Saint-cloud,Hauts,Cinquième République - Assemblée nationale,VIIIe législature,2 avril 1986,14 mai 1988,Oise,,Union pour la démocratie française,,FALSE,,
3830,https://www2.assemblee-nationale.fr/sycomore/fiche/3830,Maurice Herzog,15 janvier 1919,Lyon,Rhône,13 décembre 2012,Neuilly-sur-seine,Hauts,Cinquième République - Assemblée nationale,IIe législature,25 novembre 1962,11 juillet 1963,Rhône,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
3830,https://www2.assemblee-nationale.fr/sycomore/fiche/3830,Maurice Herzog,15 janvier 1919,Lyon,Rhône,13 décembre 2012,Neuilly-sur-seine,Hauts,Cinquième République - Assemblée nationale,IIIe législature,12 mars 1967,30 mai 1968,Haute-Savoie,,Union démocratique pour la V° République,UD-Ve,TRUE,,
3830,https://www2.assemblee-nationale.fr/sycomore/fiche/3830,Maurice Herzog,15 janvier 1919,Lyon,Rhône,13 décembre 2012,Neuilly-sur-seine,Hauts,Cinquième République - Assemblée nationale,IVe législature,30 juin 1968,1 avril 1973,Haute-Savoie,,Union des démocrates pour la République,UDR,TRUE,,
