fiche_id,url,nom_complet,naissance_date,naissance_commune,naissance_dept,deces_date,deces_commune,deces_dept,chambre,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,est_gaulliste,suppleant_de,a_eu_suppleant
1885,https://www2.assemblee-nationale.fr/sycomore/fiche/1885,"Georges, Auguste, Alexandre Cogniot",15 décembre 1901,Montigny-lès-cherlieu,Haute,12 mars 1978,Gagny,Seine,Assemblée nationale constituante,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,21 octobre 1945,10 juin 1946,Seine,,Communiste,,FALSE,,
1885,https://www2.assemblee-nationale.fr/sycomore/fiche/1885,"Georges, Auguste, Alexandre Cogniot",15 décembre 1901,Montigny-lès-cherlieu,Haute,12 mars 1978,Gagny,Seine,Assemblée nationale constituante,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,2 juin 1946,27 novembre 1946,Seine,,Communiste,,FALSE,,
1885,https://www2.assemblee-nationale.fr/sycomore/fiche/1885,"Georges, Auguste, Alexandre Cogniot",15 décembre 1901,Montigny-lès-cherlieu,Haute,12 mars 1978,Gagny,Seine,Assemblée nationale,Quatrième République - Assemblée nationale,Ire législature,10 novembre 1946,4 juillet 1951,Seine,,Communiste,,FALSE,,
1885,https://www2.assemblee-nationale.fr/sycomore/fiche/1885,"Georges, Auguste, Alexandre Cogniot",15 décembre 1901,Montigny-lès-cherlieu,Haute,12 mars 1978,Gagny,Seine,Assemblée nationale,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Seine,,Communiste,,FALSE,,
1885,https://www2.assemblee-nationale.fr/sycomore/fiche/1885,"Georges, Auguste, Alexandre Cogniot",15 décembre 1901,Montigny-lès-cherlieu,Haute,12 mars 1978,Gagny,Seine,Assemblée nationale,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,8 décembre 1958,Seine,,Communiste,,FALSE,,
1887,https://www2.assemblee-nationale.fr/sycomore/fiche/1887,Michel Cointat,13 avril 1921,Paris,Seine,16 novembre 2013,Paris10e,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,IIIe législature,3 avril 1967,30 mai 1968,Ille-et-Vilaine,,Union démocratique pour la V° République,UD-Ve,TRUE,,
1887,https://www2.assemblee-nationale.fr/sycomore/fiche/1887,Michel Cointat,13 avril 1921,Paris,Seine,16 novembre 2013,Paris10e,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,IVe législature,11 juillet 1968,7 février 1971,Ille-et-Vilaine,,Union des démocrates pour la République,UDR,TRUE,,
1887,https://www2.assemblee-nationale.fr/sycomore/fiche/1887,Michel Cointat,13 avril 1921,Paris,Seine,16 novembre 2013,Paris10e,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Ille-et-Vilaine,,Union des démocrates pour la République,UDR,TRUE,,
1887,https://www2.assemblee-nationale.fr/sycomore/fiche/1887,Michel Cointat,13 avril 1921,Paris,Seine,16 novembre 2013,Paris10e,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,VIe législature,3 avril 1978,2 novembre 1978,Ille-et-Vilaine,,Rassemblement pour la République,,FALSE,,
1887,https://www2.assemblee-nationale.fr/sycomore/fiche/1887,Michel Cointat,13 avril 1921,Paris,Seine,16 novembre 2013,Paris10e,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,VIIe législature,2 juillet 1981,1 avril 1986,Ille-et-Vilaine,,Rassemblement pour la République,,FALSE,,
1887,https://www2.assemblee-nationale.fr/sycomore/fiche/1887,Michel Cointat,13 avril 1921,Paris,Seine,16 novembre 2013,Paris10e,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,VIIIe législature,2 avril 1986,14 mai 1988,Ille-et-Vilaine,,Rassemblement pour la République,,FALSE,,
1887,https://www2.assemblee-nationale.fr/sycomore/fiche/1887,Michel Cointat,13 avril 1921,Paris,Seine,16 novembre 2013,Paris10e,Paris,Assemblée nationale,Cinquième République - Assemblée nationale,IXe législature,6 juin 1988,1 avril 1993,Ille-et-Vilaine,,Rassemblement pour la République,,FALSE,,
1889,https://www2.assemblee-nationale.fr/sycomore/fiche/1889,"Paul, Jean, Gaston Coirre",19 mars 1911,Paris,Seine,14 décembre 1989,Paris,Paris,Assemblée nationale,Quatrième République - Assemblée nationale,IIe législature,21 décembre 1952,1 décembre 1955,Seine,,Indépendants d'action républicaine et sociale,,FALSE,,
1889,https://www2.assemblee-nationale.fr/sycomore/fiche/1889,"Paul, Jean, Gaston Coirre",19 mars 1911,Paris,Seine,14 décembre 1989,Paris,Paris,Assemblée nationale,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,8 décembre 1958,Seine,,Indépendants et paysans d'action sociale,,FALSE,,
1892,https://www2.assemblee-nationale.fr/sycomore/fiche/1892,Raymond Colibeau,5 juin 1917,Paris,Seine,30 septembre 1996,Cannes,Alpes,Assemblée nationale,Cinquième République - Assemblée nationale,IVe législature,23 juillet 1969,1 avril 1973,Paris,,Union des démocrates pour la République,UDR,TRUE,,
1894,https://www2.assemblee-nationale.fr/sycomore/fiche/1894,"André, Gabriel, Marie Colin",19 janvier 1910,Brest,Finistère,29 août 1978,Carantec,Finistère,Assemblée nationale constituante,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,21 octobre 1945,10 juin 1946,Finistère,,Mouvement républicain populaire,,FALSE,,
1894,https://www2.assemblee-nationale.fr/sycomore/fiche/1894,"André, Gabriel, Marie Colin",19 janvier 1910,Brest,Finistère,29 août 1978,Carantec,Finistère,Assemblée nationale constituante,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,2 juin 1946,27 novembre 1946,Finistère,,Mouvement républicain populaire,,FALSE,,
1894,https://www2.assemblee-nationale.fr/sycomore/fiche/1894,"André, Gabriel, Marie Colin",19 janvier 1910,Brest,Finistère,29 août 1978,Carantec,Finistère,Assemblée nationale,Quatrième République - Assemblée nationale,Ire législature,10 novembre 1946,4 juillet 1951,Finistère,,Mouvement républicain populaire,,FALSE,,
1894,https://www2.assemblee-nationale.fr/sycomore/fiche/1894,"André, Gabriel, Marie Colin",19 janvier 1910,Brest,Finistère,29 août 1978,Carantec,Finistère,Assemblée nationale,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Finistère,,Mouvement républicain populaire,,FALSE,,
