elite_id,source_system,source_record_id,career_source_row,position,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,is_gaulliste,status,suppleant_de,a_eu_suppleant,source_url
FR_ELITE_001083,SYCOMORE,2268,2,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-04-03,1968-05-30,Seine-Maritime,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2268
FR_ELITE_001083,SYCOMORE,2268,3,Député,Cinquième République - Assemblée nationale,IVe législature,1968-07-11,1973-04-01,Seine-Maritime,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2268
FR_ELITE_001083,SYCOMORE,2268,4,Député,Cinquième République - Assemblée nationale,Ve législature,1973-04-02,1978-04-02,Seine-Maritime,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2268
FR_ELITE_001083,SYCOMORE,2268,5,Député,Cinquième République - Assemblée nationale,VIe législature,1978-04-03,1981-05-22,Seine-Maritime,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2268
FR_ELITE_001083,SYCOMORE,2268,6,Député,Cinquième République - Assemblée nationale,VIIe législature,1981-07-02,1986-04-01,Seine-Maritime,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2268
FR_ELITE_001083,SYCOMORE,2268,7,Député,Cinquième République - Assemblée nationale,VIIIe législature,1986-04-02,1988-05-14,Seine-Maritime,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2268
FR_ELITE_001088,SYCOMORE,2639,1,Député,Cinquième République - Assemblée nationale,Ire législature,1962-05-15,1962-10-09,Haute-Garonne,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2639
FR_ELITE_001088,SYCOMORE,2639,2,Député,Cinquième République - Assemblée nationale,IIe législature,1963-01-07,1967-04-02,Haute-Garonne,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2639
FR_ELITE_001097,SYCOMORE,6288,1,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1962-10-09,Nord,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/6288
FR_ELITE_001098,SYCOMORE,7318,1,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-03-12,1968-05-30,Vienne,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7318
FR_ELITE_001098,SYCOMORE,7318,2,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-23,1973-04-01,Vienne,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7318
FR_ELITE_001098,SYCOMORE,7318,3,Député,Cinquième République - Assemblée nationale,Ve législature,1973-04-02,1973-05-12,Vienne,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7318
FR_ELITE_001099,SYCOMORE,7155,1,Député,Cinquième République - Assemblée nationale,IIe législature,1963-01-07,1967-04-02,Paris,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7155
FR_ELITE_001099,SYCOMORE,7155,2,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-03-12,1968-05-30,Hauts-de-Seine,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7155
FR_ELITE_001099,SYCOMORE,7155,3,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-30,1973-04-01,Hauts-de-Seine,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7155
FR_ELITE_001100,SYCOMORE,7151,1,Député,Quatrième République - Assemblée nationale,Ire législature,1946-11-10,1951-07-04,Calvados,,Républicains indépendants,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7151
FR_ELITE_001100,SYCOMORE,7151,2,Député,Quatrième République - Assemblée nationale,IIe législature,1951-06-17,1955-12-01,Calvados,,Rassemblement du peuple français,RPF,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7151
FR_ELITE_001100,SYCOMORE,7151,3,Député,Quatrième République - Assemblée nationale,IIIe législature,1956-01-02,1958-12-08,Calvados,,Républicains sociaux,RS,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7151
FR_ELITE_001100,SYCOMORE,7151,4,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-23,1959-02-08,Calvados,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7151
FR_ELITE_001100,SYCOMORE,7151,5,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-18,1963-01-06,Calvados,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7151
FR_ELITE_001100,SYCOMORE,7151,6,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-03-05,1968-05-30,Calvados,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7151
FR_ELITE_001100,SYCOMORE,7151,7,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-23,1973-04-01,Calvados,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7151
FR_ELITE_001114,SYCOMORE,7036,1,Député,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,1945-10-21,1946-06-10,Moselle,,Mouvement républicain populaire,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7036
FR_ELITE_001114,SYCOMORE,7036,2,Député,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,1946-06-02,1946-11-27,Moselle,,Mouvement républicain populaire,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7036
FR_ELITE_001114,SYCOMORE,7036,3,Député,Quatrième République - Assemblée nationale,Ire législature,1946-11-10,1951-07-04,Moselle,,Mouvement républicain populaire,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7036
FR_ELITE_001114,SYCOMORE,7036,4,Député,Quatrième République - Assemblée nationale,IIe législature,1951-06-17,1955-12-01,Moselle,,Rassemblement du peuple français - ARS,RPF,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7036
FR_ELITE_001114,SYCOMORE,7036,5,Député,Quatrième République - Assemblée nationale,IIIe législature,1956-01-02,1958-12-08,Moselle,,Indépendants et paysans d'action sociale,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/7036
